"","Location","Sample","logMFI","Dilution","antigen","file_name","flagged_run","date_plate","min","max","lower_bound","upper_bound","Flag","Conc","trim_lo","trim_up"
"Rh220_1.1","1(1,A1)","NS1073",4.11087386417331,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.00960781910876599,3.80666248977032,9.22413395452614
"Rh220_1.2","2(1,B1)","NS2235",4.7361984483945,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0142685903846586,3.80666248977032,9.22413395452614
"Rh220_1.3","3(1,C1)","NS1068",2.83321334405622,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"below_min",0.00782279787906226,3.80666248977032,9.22413395452614
"Rh220_1.4","4(1,D1)","NS1005",3.78418963391826,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"below_min",0.00782279787906226,3.80666248977032,9.22413395452614
"Rh220_1.5","5(1,E1)","NS1048",2.83321334405622,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"below_min",0.00782279787906226,3.80666248977032,9.22413395452614
"Rh220_1.6","6(1,F1)","NS1269",5.03695260241363,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0170977400944532,3.80666248977032,9.22413395452614
"Rh220_1.7","7(1,G1)","NS2008",5.85507192220243,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.027519270755988,3.80666248977032,9.22413395452614
"Rh220_1.8","8(1,H1)","NS1082",4.62497281328427,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0133279094946899,3.80666248977032,9.22413395452614
"Rh220_1.9","9(1,A2)","NS1207",6.41017488196617,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0379256158571053,3.80666248977032,9.22413395452614
"Rh220_1.10","10(1,B2)","NS1217",4.59511985013459,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0130843648070385,3.80666248977032,9.22413395452614
"Rh220_1.11","11(1,C2)","NS2143",4.99721227376411,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0166982682737378,3.80666248977032,9.22413395452614
"Rh220_1.12","12(1,D2)","NS1149",5.98141421125448,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0295941184118576,3.80666248977032,9.22413395452614
"Rh220_1.13","13(1,E2)","NS1205",6.21860011969173,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0339323831351933,3.80666248977032,9.22413395452614
"Rh220_1.14","14(1,F2)","NS2092",5.21493575760899,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0189920348856697,3.80666248977032,9.22413395452614
"Rh220_1.15","15(1,G2)","NS1209",5.34233425196481,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0204613046403424,3.80666248977032,9.22413395452614
"Rh220_1.16","16(1,H2)","NS2184",3.63758615972639,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"below_min",0.00782279787906226,3.80666248977032,9.22413395452614
"Rh220_1.17","17(1,A3)","NS1105",5.03043792139244,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.017031688075704,3.80666248977032,9.22413395452614
